LocationID,Borough,Zone,service_zone,latitude,longitude,Lat_Long,latitude_dbl,longitude_dbl
111,Brooklyn,Green-Wood Cemetery,Boro Zone,40.65213727041885,-73.99023450433015,40.65213727041885 -73.99023450433015,40.65213727041885,-73.99023450433015
112,Brooklyn,Greenpoint,Boro Zone,40.72950628420856,-73.94954030482191,40.72950628420856 -73.94954030482191,40.72950628420856,-73.94954030482191
113,Manhattan,Greenwich Village North,Yellow Zone,40.73257907302683,-73.99430477051166,40.73257907302683 -73.99430477051166,40.73257907302683,-73.99430477051166
114,Manhattan,Greenwich Village South,Yellow Zone,40.7283403913721,-73.9973802602004,40.7283403913721 -73.9973802602004,40.7283403913721,-73.9973802602004
115,Staten Island,Grymes Hill/Clifton,Boro Zone,40.61797137588905,-74.08783880974954,40.61797137588905 -74.08783880974954,40.61797137588905,-74.08783880974954
116,Manhattan,Hamilton Heights,Boro Zone,40.82701265492519,-73.94852173020882,40.82701265492519 -73.94852173020882,40.82701265492519,-73.94852173020882
117,Queens,Hammels/Arverne,Boro Zone,40.59405875281388,-73.78962208250094,40.59405875281388 -73.78962208250094,40.59405875281388,-73.78962208250094
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,40.58655462662609,-74.13297872511694,40.58655462662609 -74.13297872511694,40.58655462662609,-74.13297872511694
119,Bronx,Highbridge,Boro Zone,40.837826991698684,-73.92615723620794,40.837826991698684 -73.92615723620794,40.837826991698684,-73.92615723620794
120,Manhattan,Highbridge Park,Boro Zone,40.846667748302565,-73.93018219742828,40.846667748302565 -73.93018219742828,40.846667748302565,-73.93018219742828
121,Queens,Hillcrest/Pomonok,Boro Zone,40.72833332297287,-73.80244428186217,40.72833332297287 -73.80244428186217,40.72833332297287,-73.80244428186217
122,Queens,Hollis,Boro Zone,40.71063928425083,-73.76113699730597,40.71063928425083 -73.76113699730597,40.71063928425083,-73.76113699730597
123,Brooklyn,Homecrest,Boro Zone,40.59995429251373,-73.96433367133908,40.59995429251373 -73.96433367133908,40.59995429251373,-73.96433367133908
124,Queens,Howard Beach,Boro Zone,40.658247961230416,-73.84491858438561,40.658247961230416 -73.84491858438561,40.658247961230416,-73.84491858438561
125,Manhattan,Hudson Sq,Yellow Zone,40.726290410281024,-74.00748581800949,40.726290410281024 -74.00748581800949,40.726290410281024,-74.00748581800949
126,Bronx,Hunts Point,Boro Zone,40.81207445859184,-73.88553752149424,40.81207445859184 -73.88553752149424,40.81207445859184,-73.88553752149424
127,Manhattan,Inwood,Boro Zone,40.8660750007276,-73.91930823586206,40.8660750007276 -73.91930823586206,40.8660750007276,-73.91930823586206
128,Manhattan,Inwood Hill Park,Boro Zone,40.872378809573455,-73.9243698171611,40.872378809573455 -73.9243698171611,40.872378809573455,-73.9243698171611
129,Queens,Jackson Heights,Boro Zone,40.75731206303897,-73.88531724061079,40.75731206303897 -73.88531724061079,40.75731206303897,-73.88531724061079
130,Queens,Jamaica,Boro Zone,40.70436877745487,-73.79397965822716,40.70436877745487 -73.79397965822716,40.70436877745487,-73.79397965822716
131,Queens,Jamaica Estates,Boro Zone,40.72065523874934,-73.77610076139925,40.72065523874934 -73.77610076139925,40.72065523874934,-73.77610076139925
132,Queens,JFK Airport,Airports,40.646984892394926,-73.78653298335011,40.646984892394926 -73.78653298335011,40.646984892394926,-73.78653298335011
133,Brooklyn,Kensington,Boro Zone,40.64059007067433,-73.97619898951332,40.64059007067433 -73.97619898951332,40.64059007067433,-73.97619898951332
134,Queens,Kew Gardens,Boro Zone,40.70805099798782,-73.82871246597533,40.70805099798782 -73.82871246597533,40.70805099798782,-73.82871246597533
135,Queens,Kew Gardens Hills,Boro Zone,40.7283776832571,-73.82119590387471,40.7283776832571 -73.82119590387471,40.7283776832571,-73.82119590387471
136,Bronx,Kingsbridge Heights,Boro Zone,40.865264191524695,-73.90591118270507,40.865264191524695 -73.90591118270507,40.865264191524695,-73.90591118270507
137,Manhattan,Kips Bay,Yellow Zone,40.740438978596224,-73.97649472376759,40.740438978596224 -73.97649472376759,40.740438978596224,-73.97649472376759
